cpu0,cpu1
93.00,1.00
93.00,1.00
9.90,85.00
3.03,92.08
4.04,91.92
1.00,94.95
1.98,93.07
1.01,94.00
83.17,12.00
13.86,81.00
81.00,16.16
92.00,4.95
22.22,71.72
77.00,19.00
22.00,73.00
73.74,23.76
24.00,71.00
71.00,25.00
27.00,70.00
2.97,96.00
6.93,88.12
7.00,87.00
4.04,93.07
63.00,34.34
90.91,2.00
87.25,4.00
92.86,3.03
93.00,1.98
89.11,3.96
12.00,83.17
1.00,94.00
7.00,90.00
45.00,49.00
47.00,47.00
38.38,58.59
3.96,90.00
3.96,89.11
3.00,94.00
35.35,59.60
10.00,87.00
3.96,92.08
2.00,93.07
3.03,94.95
1.98,94.00
4.04,90.10
3.00,93.14
4.00,92.00
8.91,86.14
6.06,90.10
23.23,72.55
89.00,6.06
91.00,5.94
93.07,2.02
77.23,17.82
16.16,80.81
82.18,13.00
15.15,80.00
2.00,95.00
9.90,85.00
10.00,83.33
6.06,89.00
5.05,89.00
91.09,5.05
93.00,2.97
49.50,43.43
5.05,88.12
80.20,16.00
4.08,90.91
1.98,94.95
5.94,89.11
75.51,22.00
89.00,7.92
94.00,2.00
91.92,5.00
93.07,3.00
88.12,6.00
17.17,78.00
1.00,94.00
4.95,92.00
1.98,94.06
1.01,94.00
2.00,94.95
1.98,94.06
1.01,94.95
0.99,94.00
4.04,91.09
0.00,95.00
13.00,81.19
61.00,35.35
78.00,16.00
79.80,15.84
95.00,1.01
93.00,2.00
91.00,7.92
39.60,55.56
2.02,92.00
51.00,44.55
93.00,3.03
48.00,47.00
46.53,51.00
93.94,2.00
92.00,9.80
56.00,39.80
37.76,58.42
91.18,3.00
60.00,31.37
33.00,62.63
90.10,2.00
91.92,4.00
44.44,50.51
27.00,68.63
94.00,2.02
92.00,5.00
36.63,57.84
20.00,75.76
92.00,1.98
87.00,3.03
79.00,15.15
3.00,93.07
4.04,90.20
10.89,84.00
83.84,12.75
5.94,86.87
12.12,82.00
10.89,83.84
92.00,3.92
2.97,90.00
91.00,1.98
3.03,91.92
50.51,46.46
20.00,75.76
1.98,92.16
86.00,11.00
91.09,2.97
90.91,3.03
7.07,87.00
47.52,46.00
2.02,93.07
1.98,95.05
68.69,28.00
1.98,94.00
72.00,24.24
38.38,56.44
3.00,94.06
44.12,50.00
1.01,92.16
48.00,48.48
64.00,33.00
82.83,13.86
57.84,36.00
83.67,14.00
1.98,95.00
44.00,53.47
42.42,54.00
48.51,47.00
51.00,46.46
47.00,49.00
2.00,94.06
92.00,5.00
51.00,45.45
43.00,52.48
55.00,42.42
2.02,94.06
39.00,56.44
32.67,63.64
1.00,93.94
3.03,94.00
35.00,65.00
95.00,3.00
64.00,30.69
3.00,93.07
1.00,95.00
26.00,70.00
93.07,3.00
94.95,1.98
74.00,22.22
2.00,94.06
19.80,76.77
52.00,44.00
15.00,80.00
80.00,14.85
13.00,83.84
85.00,11.88
9.00,87.00
81.82,10.00
3.03,92.08
0.99,94.95
2.00,93.07
64.00,33.33
4.00,91.00
1.98,94.06
1.02,94.95
90.20,6.00
93.94,4.95
8.00,87.00
1.00,92.93
83.84,13.86
12.00,84.00
83.00,15.00
31.68,62.75
18.00,77.78
78.00,22.45
19.00,75.49
6.00,86.14
2.00,92.16
71.00,23.00
91.09,2.02
93.94,2.02
88.12,3.00
29.59,64.36
63.00,31.31
90.00,1.98
94.00,1.98
37.00,57.58
57.00,37.00
39.00,56.44
52.53,42.86
39.60,52.94
1.00,93.94
50.00,45.00
45.00,49.00
2.02,92.00
1.98,91.92
6.93,87.25
3.03,91.92
2.97,91.09
4.08,89.11
1.98,93.88
35.29,58.42
81.63,14.00
91.09,2.97
82.00,13.13
90.91,3.00
93.00,1.98
79.80,15.69
90.20,3.03
91.92,2.00
91.00,1.98
87.13,5.94
65.66,27.55
2.00,92.08
2.00,92.00
4.00,90.20
14.00,79.80
93.94,3.00
91.09,3.96
85.00,9.90
88.89,9.09
91.92,2.00
89.22,6.00
92.93,4.00
92.08,2.97
12.12,80.00
84.00,11.88
81.19,14.00
6.06,88.89
38.38,56.00
24.24,72.73
8.91,84.00
1.00,91.00
10.00,81.37
5.88,94.00
2.97,93.00
10.10,82.18
5.05,88.00
1.98,90.00
3.00,92.00
1.01,92.00
1.98,92.00
69.39,26.73
87.25,6.00
94.95,2.00
89.00,7.92
32.00,62.00
4.04,87.88
2.94,90.10
5.00,87.00
4.04,92.08
5.00,89.00
52.48,40.00
83.00,10.89
47.00,48.51
2.02,93.00
1.98,93.00
17.00,77.00
3.00,92.00
1.00,92.08
2.02,92.08
15.84,78.79
3.03,91.09
1.00,94.06
2.00,92.00
26.00,68.00
94.00,3.00
86.87,2.00
91.09,2.00
63.00,29.00
12.12,83.84
68.00,26.47
2.02,92.00
